1. Visual Spatial Index
Question, Score

2. Fluid Reasoning Index
Question, Correct, Score

2. Fluid Reasoning Index
Question, Correct, Score

2. Fluid Reasoning Index
Question, Correct, Score
1,False,0
2,True,10
3,False,0
4,True,10

2. Fluid Reasoning Index
Question, Correct, Score
1,True,10
2,True,10
3,False,0
4,True,10

2. Fluid Reasoning Index
Question, Correct, Score
1,False,0
2,False,0
3,False,0
4,True,10

2. Fluid Reasoning Index
Question, Correct, Score
1,False,0
2,False,0
3,False,0
4,True,10

2. Fluid Reasoning Index
Question, Correct, Score
1,True,10
2,False,0
3,True,10
4,True,10

2. Fluid Reasoning Index
Question, Correct, Score
1,False,0
2,True,10
3,False,0
4,False,0
